Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,Information,Note
JNJ,Common Stock,Johnson & Johnson,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government.",200406,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ, US",December,30-09-2023,3.82E+11,35014001000,29.86,1.572,29.59,4.64,0.03,5.32,38.16,0.351,0.301,0.101,0.192,98656002000,63954000000,5.32,5.09,0.068,175.1,29.86,14.62,3.865,5.35,3.93,15.72,0.573,175.71,143.8,152.93,159.39,2407280000,05-12-2023,20-11-2023,,
PFE,Common Stock,Pfizer Inc,"Pfizer Inc. is an American multinational pharmaceutical and biotechnology corporation headquartered on 42nd Street in Manhattan, New York City. The name of the company commemorates its co-founder, Charles Pfizer (1824-1906). Pfizer develops and produces medicines and vaccines for immunology, oncology, cardiology, endocrinology, and neurology. The company has several blockbuster drugs or products that each generate more than 1 billion USD in annual revenues.",78003,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"235 E 42ND ST, NEW YORK, NY, US",December,30-09-2023,1.67E+11,13945000000,16.11,1.173,17.17,1.63,0.056,1.83,12.16,0.153,-0.623,0.0239,0.111,68537000000,66233000000,1.83,-0.764,-0.416,40,16.11,9.03,2.439,1.684,2.665,9.93,0.555,52.55,28.3,31.22,36.3,5646410000,04-12-2023,09-11-2023,,
MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",December,30-09-2023,2.66E+11,12934000000,58.37,0.83,16.27,2.88,0.0293,1.8,23.38,0.0777,0.365,0.054,0.108,59314999000,42077000000,1.8,0.453,0.067,124.9,58.37,12.12,4.42,6.36,4.86,23.4,0.355,118.05,99.14,103.03,108.38,2534020000,08-01-2024,14-12-2023,,
UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",December,30-09-2023,5.07E+11,34539999000,23.81,1.504,91.34,7.06,0.0137,23.03,386.66,0.0602,0.0923,0.0751,0.253,3.60E+11,79617000000,23.03,0.124,0.142,591.39,23.81,19.49,1.408,5.99,1.459,14.78,0.62,554.7,440.66,530.63,497.97,924925000,12-12-2023,01-12-2023,,
AMGN,Common Stock,Amgen Inc,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",318154,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",December,30-09-2023,1.46E+11,13301000000,19.38,2.221,14.31,8.33,0.0313,14.06,50.16,0.282,0.389,0.0786,1.338,26833000000,19917000000,14.06,-0.191,0.038,277.83,19.38,13.93,5.43,19.05,6.39,11.57,0.58,286.21,208.37,270.21,246.55,535178000,08-12-2023,16-11-2023,,
DIS,Common Stock,Walt Disney Company,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.",1744489,NYSE,USD,USA,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,"500 SOUTH BUENA VISTA STREET, BURBANK, CA, US",September,30-09-2023,1.68E+11,14701000000,71.33,1.112,54.25,0,0.0065,1.29,48.63,0.0265,0.102,0.0285,0.0306,88898003000,28321000000,1.29,0.623,0.054,104.68,71.33,19.68,1.906,1.707,2.269,16.65,1.316,118.18,78.73,86.04,90.4,1830320000,10-01-2024,08-12-2023,,
TSLA,Common Stock,Tesla Inc,"Tesla, Inc. is an American electric vehicle and clean energy company based in Palo Alto, California. Tesla's current products include electric cars, battery energy storage from home to grid-scale, solar panels and solar roof tiles, as well as other related products and services. In 2020, Tesla had the highest sales in the plug-in and battery electric passenger car segments, capturing 16% of the plug-in market (which includes plug-in hybrids) and 23% of the battery-electric (purely electric) market. Through its subsidiary Tesla Energy, the company develops and is a major installer of solar photovoltaic energy generation systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3 GWh of battery storage supplied in 2020.",1318605,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"3500 DEER CREEK RD, PALO ALTO, CA, US",December,30-09-2023,7.49E+11,15152000000,75.75,2.692,16.82,0,0,3.11,30.28,0.112,0.0756,0.0797,0.225,95924003000,20853000000,3.11,-0.442,0.088,224.9,75.75,65.79,7.91,14.2,7.73,45.43,2.262,299.29,101.81,234.83,224.03,3178920000,None,None,,
NKE,Common Stock,Nike Inc,"Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment.",320187,NYSE,USD,USA,MANUFACTURING,RUBBER & PLASTICS FOOTWEAR,"ONE BOWERMAN DR, BEAVERTON, OR, US",May,31-08-2023,1.75E+11,6709000000,35,2.067,9.17,1.36,0.013,3.29,33.38,0.0982,0.124,0.0935,0.339,51469001000,21479000000,3.29,0.011,0.02,119.47,35,30.67,3.356,12.36,3.421,26.25,1.079,129.63,88.36,102.17,110.07,1224010000,02-01-2024,01-12-2023,,
MCD,Common Stock,McDonald’s Corporation,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona.",63908,NYSE,USD,USA,TRADE & SERVICES,RETAIL-EATING PLACES,"110 NORTH CARPENTER STREET, CHICAGO, IL, US",December,30-09-2023,2.08E+11,13454000000,25.19,1.887,-6.69,6.08,0.0234,11.36,34.28,0.333,0.476,0.143,0,25014000000,13207200000,11.36,0.183,0.14,309.12,25.19,22.94,8.29,-,10.14,18.63,0.702,295.98,244.27,264.62,279.68,725342000,15-12-2023,30-11-2023,,
PG,Common Stock,Procter & Gamble Company,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble. It specializes in a wide range of personal health, consumer health, personal care, and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included food, snacks, and beverages.",80424,NYSE,USD,USA,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS","ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH, US",June,30-09-2023,3.58E+11,22635999000,24.77,3.532,19.89,3.708,0.0246,6.14,35.26,0.183,0.264,0.104,0.332,83265004000,39246000000,6.14,0.161,0.061,165.43,24.77,23.98,4.321,7.67,4.645,16.99,0.446,157.39,133.3,148.92,149.54,2356890000,15-11-2023,19-10-2023,,
KO,Common Stock,The Coca-Cola Company,"The Coca-Cola Company is an American multinational beverage corporation incorporated under Delaware's General Corporation Law and headquartered in Atlanta, Georgia. The Coca-Cola Company has interests in the manufacturing, retailing, and marketing of nonalcoholic beverage concentrates and syrups.",21344,NYSE,USD,USA,MANUFACTURING,BEVERAGES,"ONE COCA COLA PLAZA, ATLANTA, GA, US",December,30-09-2023,2.53E+11,14168001000,23.71,2.763,6.09,1.82,0.0314,2.47,10.41,0.239,0.304,0.0855,0.412,45029999000,25004000000,2.47,0.092,0.08,64.35,23.71,20.96,5.63,9.63,6.18,17.89,0.583,63.49,51.14,56.03,59.82,4323410000,15-12-2023,30-11-2023,,
PEP,Common Stock,PepsiCo Inc,"PepsiCo, Inc. is an American based multinational food, snack, and beverage corporation headquartered in Harrison, New York, in the hamlet of Purchase. PepsiCo's business encompasses all aspects of the food and beverage market. It oversees the manufacturing, distribution, and marketing of its products.",77476,NASDAQ,USD,USA,MANUFACTURING,BEVERAGES,"700 ANDERSON HILL RD, PURCHASE, NY, US",December,30-09-2023,2.33E+11,16125000000,28.14,2.504,13.68,4.83,0.0292,6.01,66.57,0.0905,0.179,0.0859,0.439,91617001000,46050000000,6.01,0.149,0.067,189.08,28.14,20.62,2.531,12.33,2.908,18.12,0.567,192.68,154.65,165.54,178.55,1374860000,05-01-2024,30-11-2023,,
WMT,Common Stock,Walmart Inc,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. It also owns and operates Sam's Club retail warehouses.",104169,NYSE,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"702 SOUTHWEST 8TH ST, BENTONVILLE, AR, US",January,31-10-2023,4.15E+11,37666001000,25.63,2.706,29.5,2.27,0.0148,6.02,237.11,0.0255,0.0181,0.0644,0.197,6.39E+11,1.48E+11,6.02,0.553,0.052,179.94,25.63,21.88,0.65,5.23,0.741,12.66,0.49,169.94,134.54,160.76,154.46,2692230000,02-01-2024,07-12-2023,,
XOM,Common Stock,Exxon Mobil Corp,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.",34088,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"5959 LAS COLINAS BLVD, IRVING, TX, US",December,30-09-2023,4.09389E+11,62528999000,10.17,1.689,50.39,3.64,0.0371,10.07,85.82,0.117,0.144,0.0888,0.212,3.50391E+11,1.33715E+11,10.07,-0.519,-0.164,128.73,10.17,10.31,1.175,2.061,1.213,5.27,1.004,119.61,95.51,108.28,108.7,3996770000,11-12-2023,14-11-2023,,
CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",December,30-09-2023,2.73478E+11,45936001000,10.76,2.575,87.55,5.95,0.0417,13.47,107.56,0.126,0.129,0.0739,0.157,2.02702E+11,98886000000,13.47,-0.398,-0.182,181.22,10.76,10.09,1.349,1.654,1.422,5.46,1.102,180.71,140.26,154.74,159.03,1882050000,11-12-2023,16-11-2023,,
SLB,Common Stock,Schlumberger NV,"Schlumberger Limited is an oilfield services company. Schlumberger has four principal executive offices located in Paris, Houston, London, and The Hague.",87347,NYSE,USD,USA,ENERGY & TRANSPORTATION,"OIL & GAS FIELD SERVICES, NEC","5599 SAN FELIPE, 17TH FLOOR, HOUSTON, TX, US",December,30-09-2023,72294359000,7043000000,17.57,0.993,13.62,0.925,0.0192,2.88,22.5,0.13,0.175,0.0733,0.226,32022999000,5161000000,2.88,0.238,0.111,69.54,17.57,14.47,2.321,3.86,2.631,11.29,1.697,62.12,42.32,55.99,53.12,1428460000,11-01-2024,05-12-2023,,
COP,Common Stock,ConocoPhillips,"ConocoPhillips is an American multinational corporation engaged in hydrocarbon exploration. It is based in the Energy Corridor district of Houston, Texas.",1163165,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"925 N. ELDRIDGE PARKWAY, HOUSTON, TX, US",December,30-09-2023,1.35994E+11,25487000000,12.54,0.721,40.21,5.34,0.0199,9.13,50.87,0.181,0.282,0.115,0.231,61839000000,39598000000,9.13,-0.346,-0.322,139.92,12.54,10.88,2.213,2.866,2.442,5.56,1.23,126.7,88.69,118.36,110.22,1187410000,01-12-2023,13-11-2023,,
NEE,Common Stock,Nextera Energy Inc,"NextEra Energy, Inc. is an American energy company with about 46 gigawatts of generating capacity, revenues of over $17 billion in 2017, and about 14,000 employees throughout the US and Canada. Its subsidiaries include Florida Power & Light (FPL), NextEra Energy Resources, NextEra Energy Partners, Gulf Power Company, and NextEra Energy Services.",753308,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"700 UNIVERSE BLVD, JUNO BEACH, FL, US",December,30-09-2023,1.19184E+11,15116000000,15.33,2.203,22.95,1.828,0.0319,3.79,13.63,0.278,0.264,0.0358,0.128,27399999000,10139000000,3.79,-0.302,0.067,72.57,15.33,17.39,4.432,2.578,7.05,12.18,0.513,86.18,46.76,56.19,68.93,2051710000,15-12-2023,22-11-2023,,
DUK,Common Stock,Duke Energy Corporation,"Duke Energy Corporation is an American electric power and natural gas holding company headquartered in Charlotte, North Carolina.",1326160,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"550 SOUTH TRYON STREET, DEC45A, CHARLOTTE, NC, US",December,30-09-2023,71468130000,12789000000,19.6,2.552,61.02,4.04,0.0438,4.73,37.3,0.0417,0.274,0.0239,0.0736,28750000000,13112000000,4.73,-0.124,0.019,98.64,19.6,15.58,2.483,1.518,5.22,11.72,0.452,101.94,82.11,89.07,92.47,770712000,18-12-2023,16-11-2023,,
D,Common Stock,Dominion Energy Inc,"Dominion Energy, Inc., commonly referred to as Dominion, is an American power and energy company headquartered in Richmond, Virginia that supplies electricity in parts of Virginia, North Carolina, and South Carolina and supplies natural gas to parts of Utah, West Virginia, Ohio, Pennsylvania, North Carolina, South Carolina, and Georgia. Dominion also has generation facilities in Indiana, Illinois, Connecticut, and Rhode Island.",715957,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"120 TREDEGAR STREET, RICHMOND, VA, US",December,30-09-2023,38601445000,8435000000,15.33,2.311,31.36,2.67,0.0579,3.01,21.42,0.0959,0.306,0.0316,0.0915,17898000000,7923000000,3.01,-0.816,-0.039,49.31,15.33,14.73,2.182,1.488,4.614,10.49,0.567,60.6,38.62,43.7,50.58,836797000,20-12-2023,30-11-2023,,
AEP,Common Stock,American Electric Power Company Inc,"American Electric Power (AEP) is a major investor-owned electric utility in the United States, delivering electricity to more than five million customers in 11 states.",4904,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1 RIVERSIDE PLAZA, COLUMBUS, OH, US",December,30-09-2023,42138444000,6990000000,18.46,2.362,48.15,3.32,0.0437,4.34,37.39,0.117,0.264,0.0264,0.0906,19286200000,8414100000,4.34,0.376,-0.033,86.83,18.46,14.33,2.195,1.673,4.388,11.91,0.498,96.39,68.6,76.24,83.66,525876000,08-12-2023,09-11-2023,,
SO,Common Stock,Southern Company,"Southern Company is an American gas and electric utility holding company based in the southern United States. It is headquartered in Atlanta, Georgia, with executive offices also located in Birmingham, Alabama.",92122,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"30 IVAN ALLEN JR. BLVD., N.W., ATLANTA, GA, US",December,30-09-2023,77357679000,10241000000,25.89,2.67,28.77,2.76,0.039,2.74,24.05,0.116,0.324,0.0255,0.0821,26255000000,10821000000,2.74,-0.044,-0.167,73,25.89,17.76,2.946,2.478,5.27,13.35,0.551,73.58,59.92,67.69,69.28,1090620000,06-12-2023,17-11-2023,,
GE,Common Stock,General Electric Company,"General Electric Company (GE) is an American multinational conglomerate incorporated in New York City and headquartered in Boston. As of 2018, the company operates through the following segments: aviation, healthcare, power, renewable energy, digital industry, additive manufacturing and venture capital and finance.",40545,NYSE,USD,USA,MANUFACTURING,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),"41 FARNSWORTH STREET, BOSTON, MA, US",December,30-09-2023,1.32272E+11,12026000000,12.65,1.575,26.34,0.32,0.0026,9.61,76.89,0.119,0.105,0.0343,0.35,83812999000,18536000000,9.61,1.939,0.199,127.7,12.65,26.32,1.591,4.651,1.598,8.35,1.215,123.25,59.71,112.85,105.66,1088390000,25-10-2023,25-09-2023,,
BA,Common Stock,The Boeing Company,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.",12927,NYSE,USD,USA,MANUFACTURING,AIRCRAFT,"P O BOX 3707 MS 1F 31, SEATTLE, WA, US",December,30-09-2023,1.42091E+11,2873000000,None,6.53,-27.67,0,0.0865,-4.7,125.54,-0.0374,-0.0145,0.0046,0,75756003000,5768000000,-4.7,-0.68,0.135,250.05,-,58.48,1.868,-,2.381,105.61,1.534,243.1,174.62,196.69,208.42,604977000,06-03-2020,13-02-2020,,
